"drug_name","strength","unit","form","default_route","aliases","category","usual_frequencies","default_dose","max_dose","notes"
"ELBASVIR WITH GRAZOPREVIR","50 mg/100 mg","mg","Tablets","Oral","Zepatier 50mg/100mg tablets","","","","",""
"ELETRIPTAN","20 mg","mg","Tablets","Oral","Eletriptan 20mg tablets; Relpax 20mg tablets","","","","",""
"ELETRIPTAN","40 mg","mg","Tablets","Oral","Eletriptan 40mg tablets; Relpax 40mg tablets","","","","",""
"ELIGLUSTAT","84 mg","mg","Capsules","Oral","Cerdelga 84mg capsules","","","","",""
"ELOSULFASE ALFA","5 mg/5 mL","mg","Solution","","Vimizim 5mg/5ml concentrate for solution for infusion vials","","","","",""
"ELOTUZUMAB SPECIALIST DRUG","300 mg","mg","Powder","","Empliciti 300mg powder for concentrate for solution for infusion vials","","","","",""
"ELOTUZUMAB SPECIALIST DRUG","400 mg","mg","Powder","","Empliciti 400mg powder for concentrate for solution for infusion vials","","","","",""
"ELRANATAMAB SPECIALIST DRUG","44 mg/1.1 mL","mg","Solution","","Elrexfio 44mg/1.1ml solution for injection vials","","","","",""
"ELRANATAMAB SPECIALIST DRUG","76 mg/1.9 mL","mg","Solution","","Elrexfio 76mg/1.9ml solution for injection vials","","","","",""
"ELTROMBOPAG","12.5 mg","mg","Tablets","Oral","Promacta 12.5mg tablets","","","","",""
"ELTROMBOPAG","25 mg","mg","Powder","","Revolade 25mg oral powder sachets","","","","",""
"ELTROMBOPAG","25 mg","mg","Tablets","Oral","Eltrombopag 25mg tablets; Revolade 25mg tablets","","","","",""
"ELTROMBOPAG","50 mg","mg","Tablets","Oral","Eltrombopag 50mg tablets; Revolade 50mg tablets","","","","",""
"ELTROMBOPAG","75 mg","mg","Tablets","Oral","Eltrombopag 75mg tablets; Revolade 75mg tablets","","","","",""
"ELVITEGRAVIR WITH COBICISTAT EMTRICITABINE AND TENOFOVIR ALAFENAMIDE","150 mg/150 mg","mg","Tablets","Oral","Genvoya 150mg/150mg/200mg/10mg tablets","","","","",""
"ELVITEGRAVIR WITH COBICISTAT EMTRICITABINE AND TENOFOVIR ALAFENAMIDE","90 mg/90 mg","mg","Tablets","Oral","Genvoya 90mg/90mg/120mg/6mg tablets","","","","",""
"ELVITEGRAVIR WITH COBICISTAT EMTRICITABINE AND TENOFOVIR DISOPROXIL","150 mg/150 mg","mg","Tablets","Oral","Stribild 150mg/150mg/200mg/245mg tablets","","","","",""
"EMICIZUMAB","105 mg/0.7 mL","mg","Solution","","Hemlibra 105mg/0.7ml solution for injection vials","","","","",""
"EMICIZUMAB","12 mg/0.4 mL","mg","Solution","","Hemlibra 12mg/0.4ml solution for injection vials","","","","",""
"EMICIZUMAB","150 mg/1 mL","mg","Solution","","Hemlibra 150mg/1ml solution for injection vials","","","","",""
"EMICIZUMAB","30 mg/1 mL","mg","Solution","","Hemlibra 30mg/1ml solution for injection vials","","","","",""
"EMICIZUMAB","60 mg/0.4 mL","mg","Solution","","Hemlibra 60mg/0.4ml solution for injection vials","","","","",""
"EMOLLIENT BATH AND SHOWER PRODUCTS ANTIMICROBIAL CONTAINING","","","","","Dermol 600 bath emollient; Emulsiderm emollient; Oilatum Plus bath additive; Dermol 200 shower emollient; Dermol Wash cutaneous emulsion","","","","",""
"EMOLLIENT BATH AND SHOWER PRODUCTS PARAFFIN CONTAINING","","","","","Doublebase emollient bath additive; Zerolatum Emollient bath additive; Hydromol Bath & Shower emollient; LPL 63.4 bath additive and emollient; Oilatum Bath Formula; Oilatum Emollient; Oilatum Junior bath additive; Aquamax wash; E45 emollient bath oil; QV Gentle wash","","","","",""
"EMOLLIENT BATH AND SHOWER PRODUCTS PARAFFIN CONTAINING","","","Cream","Topical","E45 emollient wash cream; AactiMed Aqueous cream; Aqueous cream; Ovelle aqueous cream","","","","",""
"EMOLLIENT BATH AND SHOWER PRODUCTS PARAFFIN CONTAINING","","","Gel","Topical","AproDerm gel; Doublebase Dayleve gel; Doublebase emollient shower gel; Doublebase emollient wash gel; Doublebase gel; Epimax isomol gel; Exmabase gel; Isopropyl myristate 15% / Liquid paraffin 15% gel; MyriBase gel; Zerodouble gel; Oilatum shower gel fragrance free","","","","",""
"EMOLLIENT BATH AND SHOWER PRODUCTS SOYA BEAN OIL CONTAINING","","","","","Zeroneum 83.35% bath additive; Balneum 84.75% bath oil; Balneum Plus bath oil","","","","",""
"EMOLLIENT CREAMS AND OINTMENTS ANTIMICROBIAL CONTAINING","","","","","Dermol 500 lotion","","","","",""
"EMOLLIENT CREAMS AND OINTMENTS ANTIMICROBIAL CONTAINING","","","Cream","Topical","Dermol cream","","","","",""
"EMOLLIENT CREAMS AND OINTMENTS COLLOIDAL OATMEAL CONTAINING","","","Cream","Topical","Epimax oatmeal cream; Aveeno cream; Zeroveen cream","","","","",""
"EMOLLIENT CREAMS AND OINTMENTS HYDROGENATED CASTOR OIL CONTAINING","","","Ointment","Topical","Epimax paraffin-free ointment","","","","",""
"EMOLLIENT CREAMS AND OINTMENTS PARAFFIN CONTAINING","","","","","E45 lotion; Ovelle Petroleum jelly white; Vaseline Pure Petroleum jelly; Cetraben lotion","","","","",""
"EMOLLIENT CREAMS AND OINTMENTS PARAFFIN CONTAINING","","","Cream","Topical","Aquamax cream; Epaderm cream; Epimax intensive cream; Epimax original cream; ZeroAQS emollient cream; Lipobase cream; Ultrabase cream; Unguentum M cream; Zerobase 11% cream; Zeroguent cream; Hydromol 2.5% cream; ExmaQS cream; Exmalatum cream; Oilatum Junior cream; Oilatum cream; Cetraben cream; Enopen cream; Epimax excetra cream; Exmaben cream; Soffen cream; QV cream; Epimax moisturising cream; Zerocream; E45 cream","","","","",""
"EMOLLIENT CREAMS AND OINTMENTS PARAFFIN CONTAINING","","","Gel","Topical","AproDerm gel; Doublebase Dayleve gel; Doublebase emollient shower gel; Doublebase emollient wash gel; Doublebase gel; Epimax isomol gel; Exmabase gel; Isopropyl myristate 15% / Liquid paraffin 15% gel; MyriBase gel; Zerodouble gel; Adex gel; Doublebase Once gel","","","","",""
"EMOLLIENT CREAMS AND OINTMENTS PARAFFIN CONTAINING","","","Ointment","Topical","Epimax ointment; Cetraben ointment; Zeroderm ointment; Hydrous ointment; Emelpin ointment; Epaderm Junior ointment; Epaderm ointment; Hydromol ointment; Thirty:30 ointment; AactiMed Emulsifying ointment; AactiMed Liquid Paraffin & White Soft Paraffin 50:50 ointment; EmulsifEss ointment; Emulsifying ointment; Fifty:50 ointment; KreaMoint 50:50 ointment; Pure Health Liquid Paraffin 50% in White Soft Paraffin ointment; Purosure ointment; QV Intensive ointment","","","","",""
"EMOLLIENT CREAMS AND OINTMENTS PARAFFIN CONTAINING","","","Spray","","Emollin aerosol spray","","","","",""
"EMOLLIENTS UREA CONTAINING","","","","","Dermatonics Once Heel Balm; Flexitol 25% Urea Heel Balm; imuDERM emollient","","","","",""
"EMOLLIENTS UREA CONTAINING","","","Cream","Topical","Balneum Plus cream; E45 Itch Relief cream; Eucerin UreaRepair Plus 10% urea foot cream; Flexitol 10% Urea cream; Hydromol Intensive 10% cream; Udrate cream","","","","",""
"EMPAGLIFLOZIN","10 mg","mg","Tablets","Oral","Jardiance 10mg tablets","","Each morning","10","",""
"EMPAGLIFLOZIN","25 mg","mg","Tablets","Oral","Jardiance 25mg tablets","","","","",""
"EMPAGLIFLOZIN WITH LINAGLIPTIN","10 mg/5 mg","mg","Tablets","Oral","Glyxambi 10mg/5mg tablets","","","","",""
"EMPAGLIFLOZIN WITH LINAGLIPTIN","25 mg/5 mg","mg","Tablets","Oral","Glyxambi 25mg/5mg tablets","","","","",""
"EMPAGLIFLOZIN WITH METFORMIN","12.5 mg/1000 mg","mg","Tablets","Oral","Synjardy 12.5mg/1000mg tablets","","","","",""
"EMPAGLIFLOZIN WITH METFORMIN","12.5 mg/850 mg","mg","Tablets","Oral","Synjardy 12.5mg/850mg tablets","","","","",""
"EMPAGLIFLOZIN WITH METFORMIN","5 mg/1000 mg","mg","Tablets","Oral","Synjardy 5mg/1000mg tablets","","","","",""
"EMPAGLIFLOZIN WITH METFORMIN","5 mg/850 mg","mg","Tablets","Oral","Synjardy 5mg/850mg tablets","","","","",""
"EMTRICITABINE","10 mg","mg","Oral Solution","Oral","Emtriva 10mg/ml oral solution","","","","",""
"EMTRICITABINE","200 mg","mg","Capsules","Oral","Emtriva 200mg capsules","","","","",""
"EMTRICITABINE WITH RILPIVIRINE AND TENOFOVIR ALAFENAMIDE","200 mg/25 mg","mg","Tablets","Oral","Odefsey 200mg/25mg/25mg tablets","","","","",""
"EMTRICITABINE WITH RILPIVIRINE AND TENOFOVIR DISOPROXIL","200 mg/25 mg","mg","Tablets","Oral","Eviplera 200mg/25mg/245mg tablets","","","","",""
"EMTRICITABINE WITH TENOFOVIR ALAFENAMIDE","200 mg/10 mg","mg","Tablets","Oral","Descovy 200mg/10mg tablets","","","","",""
"EMTRICITABINE WITH TENOFOVIR ALAFENAMIDE","200 mg/25 mg","mg","Tablets","Oral","Descovy 200mg/25mg tablets","","","","",""
"EMTRICITABINE WITH TENOFOVIR DISOPROXIL","200 mg","mg","Tablets","Oral","Emtricitabine 200mg / Tenofovir disoproxil 245mg tablets","","","","",""
"EMTRICITABINE WITH TENOFOVIR DISOPROXIL","200 mg/245 mg","mg","Tablets","Oral","Truvada 200mg/245mg tablets","","","","",""
"ENALAPRIL MALEATE","10 mg","mg","Tablets","Oral","Enalapril 10mg tablets; Innovace 10mg tablets","","","","",""
"ENALAPRIL MALEATE","2.5 mg","mg","Tablets","Oral","Enalapril 2.5mg tablets; Innovace 2.5mg tablets","","","","",""
"ENALAPRIL MALEATE","20 mg","mg","Tablets","Oral","Enalapril 20mg tablets; Innovace 20mg tablets","","","","",""
"ENALAPRIL MALEATE","5 mg","mg","Tablets","Oral","Enalapril 5mg tablets; Innovace 5mg tablets","","","","",""
"ENALAPRIL MALEATE","5 mg/5 mL","mg","Oral Solution","Oral","Enalapril 5mg/5ml oral solution sugar free","","","","",""
"ENALAPRIL WITH HYDROCHLOROTHIAZIDE","20 mg","mg","Tablets","Oral","Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets","","","","",""
"ENALAPRIL WITH HYDROCHLOROTHIAZIDE","20 mg/12.5 mg","mg","Tablets","Oral","Innozide 20mg/12.5mg tablets","","","","",""
"ENCORAFENIB SPECIALIST DRUG","50 mg","mg","Capsules","Oral","Braftovi 50mg capsules","","","","",""
"ENCORAFENIB SPECIALIST DRUG","75 mg","mg","Capsules","Oral","Braftovi 75mg capsules","","","","",""
"ENFORTUMAB VEDOTIN SPECIALIST DRUG","20 mg","mg","Powder","","Padcev 20mg powder for concentrate for solution for infusion vials","","","","",""
"ENFORTUMAB VEDOTIN SPECIALIST DRUG","30 mg","mg","Powder","","Padcev 30mg powder for concentrate for solution for infusion vials","","","","",""
"ENOXAPARIN","20 mg in 0.2mL","mg","Pre-Filled Syringe","Subcutaneous","","","Each night","20","",""
"ENOXAPARIN","40 mg in 0.4mL","mg","Pre-Filled Syringe","Subcutaneous","","","Each night","40","",""
"ENOXAPARIN","60 mg in 0.6mL","mg","Pre-Filled Syringe","Subcutaneous","","","Twice daily","60","",""
"ENOXAPARIN","80 mg in 0.8mL","mg","Pre-Filled Syringe","Subcutaneous","","","","80","",""
"ENOXAPARIN (Inhixa)","40 mg in 0.4mL","mg","Pre-Filled Syringe","Subcutaneous","","","Twelve hourly","40","",""
"ENOXAPARIN SODIUM","100 mg/1 mL","mg","Solution","","Arovi 100mg/1ml solution for injection pre-filled syringes; Clexane 100mg/1ml solution for injection pre-filled syringes; Inhixa 100mg/1ml solution for injection pre-filled syringes; Ledraxen 100mg/1ml solution for injection pre-filled syringes","","","","",""
"ENOXAPARIN SODIUM","120 mg/0.8 mL","mg","Solution","","Arovi 120mg/0.8ml solution for injection pre-filled syringes; Clexane Forte 120mg/0.8ml solution for injection pre-filled syringes; Inhixa 120mg/0.8ml solution for injection pre-filled syringes","","","","",""
"ENOXAPARIN SODIUM","150 mg/1 mL","mg","Solution","","Arovi 150mg/1ml solution for injection pre-filled syringes; Clexane Forte 150mg/1ml solution for injection pre-filled syringes; Inhixa 150mg/1ml solution for injection pre-filled syringes","","","","",""
"ENOXAPARIN SODIUM","20 mg/0.2 mL","mg","Solution","","Arovi 20mg/0.2ml solution for injection pre-filled syringes; Clexane 20mg/0.2ml solution for injection pre-filled syringes; Inhixa 20mg/0.2ml solution for injection pre-filled syringes; Ledraxen 20mg/0.2ml solution for injection pre-filled syringes","","","","",""
"ENOXAPARIN SODIUM","300 mg/3 mL","mg","Solution","","Clexane 300mg/3ml solution for injection multidose vials","","","","",""
"ENOXAPARIN SODIUM","40 mg/0.4 mL","mg","Solution","","Arovi 40mg/0.4ml solution for injection pre-filled syringes; Clexane 40mg/0.4ml solution for injection pre-filled syringes; Inhixa 40mg/0.4ml solution for injection pre-filled syringes; Ledraxen 40mg/0.4ml solution for injection pre-filled syringes","","","","",""
"ENOXAPARIN SODIUM","60 mg/0.6 mL","mg","Solution","","Arovi 60mg/0.6ml solution for injection pre-filled syringes; Clexane 60mg/0.6ml solution for injection pre-filled syringes; Inhixa 60mg/0.6ml solution for injection pre-filled syringes; Ledraxen 60mg/0.6ml solution for injection pre-filled syringes","","","","",""
"ENOXAPARIN SODIUM","80 mg/0.8 mL","mg","Solution","","Arovi 80mg/0.8ml solution for injection pre-filled syringes; Clexane 80mg/0.8ml solution for injection pre-filled syringes; Inhixa 80mg/0.8ml solution for injection pre-filled syringes; Ledraxen 80mg/0.8ml solution for injection pre-filled syringes","","","","",""
"ENOXIMONE","100 mg/20 mL","mg","Solution","","Perfan 100mg/20ml solution for injection ampoules","","","","",""
"ENTACAPONE","200 mg","mg","Tablets","Oral","Entacapone 200mg tablets","","","","",""
"ENTECAVIR","","","Tablets","Oral","Entecavir 500microgram tablets","","","","",""
"ENTECAVIR","0.05 mg","mg","Oral Solution","Oral","Baraclude 0.05mg/ml oral solution","","","","",""
"ENTECAVIR","0.5 mg","mg","Tablets","Oral","Baraclude 0.5mg tablets","","","","",""
"ENTECAVIR","1 mg","mg","Tablets","Oral","Baraclude 1mg tablets; Entecavir 1mg tablets","","","","",""
"ENTRECTINIB SPECIALIST DRUG","100 mg","mg","Capsules","Oral","Rozlytrek 100mg capsules","","","","",""
"ENTRECTINIB SPECIALIST DRUG","200 mg","mg","Capsules","Oral","Rozlytrek 200mg capsules","","","","",""
"ENZALUTAMIDE","40 mg","mg","Tablets","Oral","Xtandi 40mg tablets","","","","",""
"EPCORITAMAB SPECIALIST DRUG","4 mg/0.8 mL","mg","Solution","","Tepkinly 4mg/0.8 ml concentrate for solution for injection vials","","","","",""
"EPCORITAMAB SPECIALIST DRUG","48 mg/0.8 mL","mg","Solution","","Tepkinly 48mg/0.8ml solution for injection vials","","","","",""
"EPHEDRINE HYDROCHLORIDE","15 mg","mg","Tablets","Oral","Ephedrine hydrochloride 15mg tablets","","","","",""
"EPHEDRINE HYDROCHLORIDE","30 mg","mg","Tablets","Oral","Ephedrine hydrochloride 30mg tablets","","","","",""
"EPHEDRINE HYDROCHLORIDE","30 mg/1 mL","mg","Solution","","Ephedrine 30mg/1ml solution for injection ampoules","","","","",""
"EPHEDRINE HYDROCHLORIDE","30 mg/10 mL","mg","Solution","","Ephedrine 30mg/10ml solution for injection ampoules; Ephedrine 30mg/10ml solution for injection pre-filled syringes","","","","",""
"EPINASTINE HYDROCHLORIDE","","","Drops","Ophthalmic/Otic","Relestat 500micrograms/ml eye drops","","","","",""
"EPIRUBICIN HYDROCHLORIDE SPECIALIST DRUG","10 mg/5 mL","mg","Solution","","Epirubicin 10mg/5ml solution for injection vials; Pharmorubicin 10mg/5ml solution for injection Cytosafe vials","","","","",""
"EPIRUBICIN HYDROCHLORIDE SPECIALIST DRUG","100 mg/50 mL","mg","Solution","","Epirubicin 100mg/50ml solution for infusion vials","","","","",""
"EPIRUBICIN HYDROCHLORIDE SPECIALIST DRUG","200 mg/100 mL","mg","Solution","","Epirubicin 200mg/100ml solution for infusion vials","","","","",""
"EPIRUBICIN HYDROCHLORIDE SPECIALIST DRUG","50 mg/25 mL","mg","Solution","","Epirubicin 50mg/25ml solution for injection vials; Pharmorubicin 50mg/25ml solution for injection Cytosafe vials","","","","",""
"EPLERENONE","25 mg","mg","Tablets","Oral","Eplerenone 25mg tablets; Inspra 25mg tablets","","Each morning","25","",""
"EPLERENONE","50 mg","mg","Tablets","Oral","Eplerenone 50mg tablets; Inspra 50mg tablets","","","","",""
"EPLONTERSEN","45 mg/0.8 mL","mg","Solution","","Wainzua 45mg/0.8ml solution for injection pre-filled pens","","","","",""
"EPOETIN ALFA","10000 units/1 mL","units","Solution","","Eprex 10,000units/1ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ALFA","2000 units/0.5 mL","units","Solution","","Eprex 2,000units/0.5ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ALFA","20000 units/0.5 mL","units","Solution","","Eprex 20,000units/0.5ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ALFA","3000 units/0.3 mL","units","Solution","","Eprex 3,000units/0.3ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ALFA","30000 units/0.75 mL","units","Solution","","Eprex 30,000units/0.75ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ALFA","4000 units/0.4 mL","units","Solution","","Eprex 4,000units/0.4ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ALFA","40000 units/1 mL","units","Solution","","Eprex 40,000units/1ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ALFA","5000 units/0.5 mL","units","Solution","","Eprex 5,000units/0.5ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ALFA","6000 units/0.6 mL","units","Solution","","Eprex 6,000units/0.6ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ALFA","8000 units/0.8 mL","units","Solution","","Eprex 8,000units/0.8ml solution for injection pre-filled syringes","","","","",""
"EPOETIN BETA","10000 units/0.6 mL","units","Solution","","NeoRecormon 10,000units/0.6ml solution for injection pre-filled syringes","","","","",""
"EPOETIN BETA","2000 units/0.3 mL","units","Solution","","NeoRecormon 2,000units/0.3ml solution for injection pre-filled syringes","","","","",""
"EPOETIN BETA","3000 units/0.3 mL","units","Solution","","NeoRecormon 3,000units/0.3ml solution for injection pre-filled syringes","","","","",""
"EPOETIN BETA","30000 units/0.6 mL","units","Solution","","NeoRecormon 30,000units/0.6ml solution for injection pre-filled syringes","","","","",""
"EPOETIN BETA","4000 units/0.3 mL","units","Solution","","NeoRecormon 4,000units/0.3ml solution for injection pre-filled syringes","","","","",""
"EPOETIN BETA","500 units/0.3 mL","units","Solution","","NeoRecormon 500units/0.3ml solution for injection pre-filled syringes","","","","",""
"EPOETIN BETA","5000 units/0.3 mL","units","Solution","","NeoRecormon 5,000units/0.3ml solution for injection pre-filled syringes","","","","",""
"EPOETIN BETA","6000 units/0.3 mL","units","Solution","","NeoRecormon 6,000units/0.3ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ZETA","1000 units/0.3 mL","units","Solution","","Retacrit 1,000units/0.3ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ZETA","10000 units/1 mL","units","Solution","","Retacrit 10,000units/1ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ZETA","2000 units/0.6 mL","units","Solution","","Retacrit 2,000units/0.6ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ZETA","20000 units/0.5 mL","units","Solution","","Retacrit 20,000units/0.5ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ZETA","3000 units/0.9 mL","units","Solution","","Retacrit 3,000units/0.9ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ZETA","30000 units/0.75 mL","units","Solution","","Retacrit 30,000units/0.75ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ZETA","4000 units/0.4 mL","units","Solution","","Retacrit 4,000units/0.4ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ZETA","40000 units/1 mL","units","Solution","","Retacrit 40,000units/1ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ZETA","5000 units/0.5 mL","units","Solution","","Retacrit 5,000units/0.5ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ZETA","6000 units/0.6 mL","units","Solution","","Retacrit 6,000units/0.6ml solution for injection pre-filled syringes","","","","",""
"EPOETIN ZETA","8000 units/0.8 mL","units","Solution","","Retacrit 8,000units/0.8ml solution for injection pre-filled syringes","","","","",""
"EPOPROSTENOL","","","Powder","","Veletri 500microgram powder for solution for infusion vials; Flolan 500microgram powder and solvent for solution for infusion vials","","","","",""
"EPOPROSTENOL","1.5 mg","mg","Powder","","Epoprostenol 1.5mg powder (pH12) for solution for infusion vials; Veletri 1.5mg powder for solution for infusion vials; Flolan 1.5mg powder and solvent for solution for infusion vials","","","","",""
"EPROSARTAN","300 mg","mg","Tablets","Oral","Eprosartan 300mg tablets","","","","",""
"EPROSARTAN","400 mg","mg","Tablets","Oral","Eprosartan 400mg tablets","","","","",""
"EPROSARTAN","600 mg","mg","Tablets","Oral","Eprosartan 600mg tablets; Teveten 600mg tablets","","","","",""
"EPTIFIBATIDE","20 mg/10 mL","mg","Solution","","Eptifibatide 20mg/10ml solution for injection vials","","","","",""
"EPTIFIBATIDE","75 mg/100 mL","mg","Solution","","Eptifibatide 75mg/100ml solution for infusion vials","","","","",""
"EPTINEZUMAB","100 mg/1 mL","mg","Solution","","Vyepti 100mg/1ml concentrate for solution for infusion vials","","","","",""
"ERAVACYCLINE","100 mg","mg","Powder","","Xerava 100mg powder for concentrate for solution for infusion vials","","","","",""
"ERDAFITINIB SPECIALIST DRUG","3 mg","mg","Tablets","Oral","Balversa 3mg tablets","","","","",""
"ERDAFITINIB SPECIALIST DRUG","4 mg","mg","Tablets","Oral","Balversa 4mg tablets","","","","",""
"ERDAFITINIB SPECIALIST DRUG","5 mg","mg","Tablets","Oral","Balversa 5mg tablets","","","","",""
"ERDOSTEINE","300 mg","mg","Capsules","Oral","Erdotin 300mg capsules","","","","",""
"ERENUMAB","140 mg/1 mL","mg","Solution","","Aimovig 140mg/1ml solution for injection pre-filled pens","","","","",""
"ERENUMAB","70 mg/1 mL","mg","Solution","","Aimovig 70mg/1ml solution for injection pre-filled pens","","","","",""
"ERGOCALCIFEROL","","","Capsules","Oral","AacErgo 50,000unit capsules; Eciferol D2 50,000unit capsules","","","","",""
"ERGOCALCIFEROL","","","Tablets","Oral","AacErgo 500unit tablets; Ergo-D2 12.5microgram tablets; HealthAid Vitamin D 500unit tablets; AacErgo 10,000unit tablets; Ergoral D2 10,000unit tablets","","","","",""
"ERGOCALCIFEROL","1.25 mg","mg","Capsules","Oral","Ergo-D2 1.25mg capsules","","","","",""
"ERGOCALCIFEROL","1500 units","units","Oral Solution","Oral","Uvesterol D 1,500units/ml oral solution","","","","",""
"ERGOCALCIFEROL","3000 units","units","","","Eciferol D2 3,000units/ml liquid","","","","",""
"ERGOCALCIFEROL","300000 units/1 mL","units","Solution","","Ergocalciferol 300,000units/1ml solution for injection ampoules","","","","",""
"ERGOCALCIFEROL","600000 units/1.5 mL","units","Solution","","Sterogyl 15H 600,000units/1.5ml solution for injection ampoules","","","","",""
"ERGOCALCIFEROL WITH CALCIUM LACTATE AND CALCIUM PHOSPHATE","","","Tablets","Oral","A1 Cal-E tablets; CalciErgo tablets","","","","",""
"ERGOMETRINE MALEATE","1 mL","mL","Solution","","Ergometrine 500micrograms/1ml solution for injection ampoules","","","","",""
"ERGOMETRINE WITH OXYTOCIN","1 mL","mL","Solution","","Syntometrine 500micrograms/1ml solution for injection ampoules","","","","",""
"ERIBULIN SPECIALIST DRUG","2 mL","mL","Solution","","Eribulin 880micrograms/2ml solution for injection vials","","","","",""
"ERLOTINIB SPECIALIST DRUG","100 mg","mg","Tablets","Oral","Erlotinib 100mg tablets; Tarceva 100mg tablets","","","","",""
"ERLOTINIB SPECIALIST DRUG","150 mg","mg","Tablets","Oral","Erlotinib 150mg tablets","","","","",""
"ERLOTINIB SPECIALIST DRUG","25 mg","mg","Tablets","Oral","Erlotinib 25mg tablets","","","","",""
"ERTAPENEM","1 g","g","Powder","","Ertapenem 1g powder for concentrate for solution for infusion vials; Invanz 1g powder for solution for infusion vials","","","","",""
"ERTUGLIFLOZIN","15 mg","mg","Tablets","Oral","Steglatro 15mg tablets","","","","",""
"ERTUGLIFLOZIN","5 mg","mg","Tablets","Oral","Steglatro 5mg tablets","","","","",""
"ERYTHROMYCIN","","","Tablets","Oral","Erythrocin 250 tablets; Erythrocin 500 tablets","","","","",""
"ERYTHROMYCIN","1 g","g","Powder","","Erythromycin 1g powder for solution for infusion vials","","","","",""
"ERYTHROMYCIN","125 mg/5 mL","mg","Oral Suspension","Oral","Erythromycin ethyl succinate 125mg/5ml oral suspension; Erythromycin ethyl succinate 125mg/5ml oral suspension sugar free","","","","",""
"ERYTHROMYCIN","250 mg","mg","Tablets","Oral","Erythromycin 250mg gastro-resistant tablets","","","","",""
"ERYTHROMYCIN","250 mg/5 mL","mg","Oral Suspension","Oral","Erythromycin ethyl succinate 250mg/5ml oral suspension; Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free","","","","",""
"ERYTHROMYCIN","500 mg","mg","Tablets","Oral","Erythromycin ethyl succinate 500mg tablets","","","","",""
"ERYTHROMYCIN","500 mg/5 mL","mg","Oral Suspension","Oral","Erythromycin ethyl succinate 500mg/5ml oral suspension","","","","",""
"ERYTHROMYCIN WITH ZINC ACETATE","40 mg","mg","","","Erythromycin 40mg/ml / Zinc acetate 12mg/ml lotion","","","","",""
"ESCITALOPRAM","10 mg","mg","Tablets","Oral","Cipralex 10mg tablets; Escitalopram 10mg tablets; Enalto 10mg orodispersible tablets","","","","",""
"ESCITALOPRAM","15 mg","mg","Tablets","Oral","Enalto 15mg orodispersible tablets","","","","",""
"ESCITALOPRAM","20 mg","mg","Drops","Ophthalmic/Otic","Cipralex 20mg/ml oral drops","","","","",""
"ESCITALOPRAM","20 mg","mg","Tablets","Oral","Cipralex 20mg tablets; Escitalopram 20mg tablets; Enalto 20mg orodispersible tablets","","","","",""
"ESCITALOPRAM","5 mg","mg","Tablets","Oral","Cipralex 5mg tablets; Escitalopram 5mg tablets; Enalto 5mg orodispersible tablets","","","","",""
"ESKETAMINE","25 mg/5 mL","mg","Solution","","Esketamine 25mg/5ml solution for injection ampoules","","","","",""
"ESKETAMINE","250 mg/10 mL","mg","Solution","","Esketamine 250mg/10ml solution for injection ampoules","","","","",""
"ESKETAMINE","28 mg/0.2 mL","mg","Spray","","Spravato 28mg/0.2ml nasal spray unit dose","","","","",""
"ESKETAMINE","50 mg/2 mL","mg","Solution","","Esketamine 50mg/2ml solution for injection ampoules","","","","",""
"ESLICARBAZEPINE ACETATE","200 mg","mg","Tablets","Oral","Arupsan 200mg tablets; Eslicarbazepine 200mg tablets; Zebinix 200mg tablets","","","","",""
"ESLICARBAZEPINE ACETATE","50 mg/1 mL","mg","Oral Suspension","Oral","Zebinix 50mg/1ml oral suspension","","","","",""
"ESLICARBAZEPINE ACETATE","800 mg","mg","Tablets","Oral","Arupsan 800mg tablets; Eslicarbazepine 800mg tablets; Zebinix 800mg tablets","","","","",""
"ESMOLOL HYDROCHLORIDE","100 mg/10 mL","mg","Solution","","Brevibloc Premixed 100mg/10ml solution for injection vials; Esmolol 100mg/10ml solution for injection ampoules; Esmolol 100mg/10ml solution for injection vials","","","","",""
"ESMOLOL HYDROCHLORIDE","2.5 g/250 mL","g","","","Brevibloc Premixed 2.5g/250ml infusion bags","","","","",""
"ESOMEPRAZOLE","10 mg","mg","","","Esomeprazole 10mg gastro-resistant granules sachets; Nexium 10mg gastro-resistant granules sachets","","","","",""
